label,SCN1B
R_RSC,0.42289282551252894
R_POS2,0.8243033357345795
R_V7,NaN
R_IPS1,0.8262204491035926
R_FFC,0.7376554257819754
R_V3B,0.882410791328711
R_LO1,NaN
R_LO2,NaN
R_PIT,NaN
R_MT,NaN
R_A1,NaN
R_PSL,0.6838345874926444
R_SFL,NaN
R_PCV,0.5611150951071932
R_STV,0.6805129157252863
R_7Pm,0.7749343989229334
R_7m,NaN
R_POS1,0.6939458955430082
R_23d,NaN
R_v23ab,NaN
R_d23ab,NaN
R_31pv,0.6803824633757365
R_5m,NaN
R_5mv,NaN
R_23c,0.6017617482292721
R_5L,0.7478800029477978
R_24dd,0.7253592768240552
R_24dv,0.5853938422508641
R_7AL,NaN
R_SCEF,NaN
R_6ma,0.655104388605083
R_7Am,0.6502173667888561
