label,KCTD4,MET,SCN1B
7Networks_LH_DorsAttn_Post_5,0.3544187053840022,0.8503801036439174,0.7599540544005041
7Networks_LH_DorsAttn_Post_6,0.4305059087667645,0.7689349064700467,0.7174494483086997
7Networks_LH_DorsAttn_Post_7,0.2777635029355756,0.7837776818770714,0.7682888183245353
7Networks_LH_DorsAttn_Post_8,0.35698830378237295,0.7254448924248142,0.7471537272347077
7Networks_LH_DorsAttn_Post_9,0.3338810404527258,0.7363370970604334,0.7779686023219701
7Networks_LH_DorsAttn_Post_10,0.3534865444487556,0.8181459164375172,0.7752522543637453
7Networks_LH_DorsAttn_Post_11,0.35635791031937786,0.7574257384812273,0.8055502712190995
7Networks_LH_DorsAttn_Post_12,0.3842555360654752,0.733859823404621,0.700187438945469
7Networks_LH_DorsAttn_FEF_1,0.34405852188970065,0.3652575344128224,0.7032954951573447
7Networks_LH_DorsAttn_FEF_2,0.3535698028328491,0.3663958712151845,0.6919917312478691
7Networks_LH_DorsAttn_FEF_3,0.43235020715965017,0.37931759063374865,0.6466381713857927
7Networks_LH_DorsAttn_PrCv_1,0.3385031621144151,0.4515759362983728,0.7296016442489425
7Networks_LH_SalVentAttn_ParOper_1,0.4673375607945669,0.8256660546449638,0.6776548074086639
7Networks_LH_SalVentAttn_ParOper_2,0.44689175819225735,0.7622690273167728,0.6630396684709303
7Networks_LH_SalVentAttn_ParOper_3,0.5091332991726529,0.7943726359970211,0.7069608088233933
7Networks_LH_SalVentAttn_TempOcc_1,0.559802568689619,0.8274054622400973,0.5997487041177878
7Networks_LH_SalVentAttn_FrOperIns_1,0.702583599333988,0.49271124443605646,0.3159118680805396
7Networks_LH_SalVentAttn_FrOperIns_2,0.5196780523493001,0.5716256632569342,0.49397010442545763
7Networks_LH_SalVentAttn_FrOperIns_3,0.5620054223085983,0.466089383387373,0.39539596105412067
7Networks_LH_SalVentAttn_FrOperIns_4,0.6648204634507809,0.4766784834343597,0.3701289109196612
7Networks_LH_SalVentAttn_FrOperIns_5,0.5494581364158063,0.5066093447488266,0.45267969723708346
7Networks_LH_SalVentAttn_FrOperIns_6,0.42109877968010767,0.5579702061975323,0.6419905947262842
7Networks_LH_SalVentAttn_FrOperIns_7,0.3819593690215968,0.42231000236372984,0.6842399269650699
7Networks_LH_SalVentAttn_PFCl_1,0.4438031344218233,0.664546528338951,0.5621849998427464
7Networks_LH_SalVentAttn_Med_1,0.47940509488334043,0.3372534692292331,0.37672960110981285
7Networks_LH_SalVentAttn_Med_2,0.4528738268022876,0.6478974410048636,0.5664887910402326
7Networks_LH_SalVentAttn_Med_3,0.328134238878162,0.7300806754072492,0.7124834095913313
7Networks_LH_SalVentAttn_Med_4,NaN,NaN,NaN
7Networks_LH_Limbic_OFC_1,0.5185296898082717,0.6651512608284181,0.41528946404501266
7Networks_LH_Limbic_OFC_2,0.6852573649278494,0.5523858153587896,0.26597677792561697
7Networks_LH_Limbic_OFC_3,0.5228030450211575,0.6739626021642655,0.4360115325919465
7Networks_LH_Limbic_TempPole_1,0.8005511125259626,0.6858005821795952,0.24327943388257486
7Networks_LH_Limbic_TempPole_2,0.726996692825734,0.8204494818527658,0.44147938779408125
7Networks_LH_Limbic_TempPole_3,0.7909112416558401,0.8400496873462543,0.34668795647267014
7Networks_LH_Limbic_TempPole_4,0.762189526219033,0.7431525946607915,0.16690518856571207
7Networks_LH_Limbic_TempPole_5,0.7638253682303253,0.8389113917120532,0.33887734210659326
7Networks_LH_Limbic_TempPole_6,0.6150241901974833,0.5912993064818608,0.38774068092537994
7Networks_LH_Limbic_TempPole_7,0.7874923502011905,0.632840959708576,0.25863980315074114
7Networks_LH_Cont_Par_1,0.48163829291542504,0.807315355258285,0.6763050375297931
7Networks_LH_Cont_Par_2,0.32871429189710033,0.8283592901042033,0.792417272825052
7Networks_LH_Cont_Par_3,0.4687227862668818,0.8063603072106318,0.7544460997335987
7Networks_LH_Cont_Par_4,0.3355266858763387,0.782477124961198,0.7353429341640301
7Networks_LH_Cont_Temp_1,0.6252655901111128,0.8658435959446477,0.5615435100497065
7Networks_LH_Cont_OFC_1,0.4910793489000548,0.6831392470101063,0.5513362753453415
7Networks_LH_Cont_PFCl_1,0.40156698103193483,0.6561220967848602,0.5938260971668545
7Networks_LH_Cont_PFCl_2,0.3646367334033488,0.6510684492151919,0.7385020635441967
7Networks_LH_Cont_PFCl_3,0.3745549409567717,0.6831397498903791,0.6710284277232952
7Networks_LH_Cont_PFCl_4,0.28247255242196295,0.609843528406655,0.7334447483453174
7Networks_LH_Cont_PFCl_5,0.40019408575601234,0.5987129964091653,0.5935497828678875
7Networks_LH_Cont_PFCl_6,0.3335036895103172,0.5670468249636232,0.6575928209244667
7Networks_LH_Cont_pCun_1,0.2964896098544543,0.7994821331305971,0.8034471832281125
7Networks_LH_Cont_pCun_2,0.31825297361850635,0.7212389772940503,0.6825268002527766
7Networks_LH_Cont_Cing_1,0.41587306552235326,0.7319667330532139,0.6730995768587583
7Networks_LH_Cont_Cing_2,0.5669742341846776,0.3116007005103587,0.2873891529665999
7Networks_LH_Cont_PFCmp_1,0.4177287894879548,0.40024330986519124,0.5937924632596976
7Networks_LH_Default_Temp_1,0.676928325713171,0.8328421901623836,0.46686110582644913
7Networks_LH_Default_Temp_2,0.6642296795905228,0.8412535173868414,0.5303028612411365
7Networks_LH_Default_Temp_3,0.7440817396920084,0.7621223946939782,0.3862563396069683
7Networks_LH_Default_Temp_4,0.632604744950795,0.836780029298562,0.5040884133399537
7Networks_LH_Default_Temp_5,0.6094437383248318,0.82352607685192,0.5388440303948394
7Networks_LH_Default_Temp_6,0.614958823489862,0.8641596283182165,0.6046552074368479
7Networks_LH_Default_Temp_7,0.49527549451539704,0.8203525452849001,0.6805795693269725
7Networks_LH_Default_Temp_8,0.4897080774361853,0.8407483532898117,0.6860469008137449
