label,ANK1,ANKRD6,ATP2B4,BAIAP3,C2CD4C,CBLN2,COL5A2,CPLX1,DMKN,ESRRG,FREM3,GLCCI1,IDS,KCNAB3,KCNC1,KCNG1,KCNS1,KCTD4,LAG3,LINC01296,MET,PKIA,PLXDC1,PNMT,PPEF1,PRRX1,RTP1,SCARA5,SCN1B,SCRT1,SEMA7A,STAC2,SV2C,TUNAR
7Networks_RH_DorsAttn_Post_4,0.7227979812159804,0.4093843926729596,0.39467089297441726,0.48809484515526724,0.5520913528989684,0.7039400815119514,0.6788424809532406,0.755518852805602,0.7448396496476617,0.7463164628499681,0.5180794685812034,0.7618044855191288,0.791956184976028,0.7030066359477504,0.792199997336088,0.37831345555763546,0.8982946395868415,0.3316810084734531,0.6888311429563898,0.8021870411039136,0.8564478900905566,0.33709652777452176,0.795242174259139,0.3105210105747648,0.5907856183809004,0.16983699004856467,0.6555467951212529,0.4802864518302263,0.8317773465661911,0.7260586037027821,0.7197642990279395,0.7710125223505921,0.6430899432284104,0.22030058858337387
7Networks_RH_DorsAttn_Post_5,0.6614993240116038,0.5041059777865837,0.5283467014033912,0.5170304074518971,0.6420681400812668,0.6485093800499862,0.6191168358517307,0.621693742015456,0.7596637443624041,0.6758971881329086,0.46814985175183343,0.6925907919380727,0.7095470794826688,0.6151448861359945,0.7466148901281568,0.4462252140884141,0.8635360833615617,0.33358304194838767,0.5661800774879555,0.795556284986253,0.7423924750312416,0.384193919295466,0.7401199245873494,0.37000299809106707,0.5803671517009658,0.36652957902163963,0.5576219926049373,0.3944416522770585,0.7347786722321626,0.6310606375601906,0.7781285069788709,0.8237936562646904,0.6226727394887327,0.25420967764333086
7Networks_RH_DorsAttn_PrCv_1,0.6353117623629598,0.676147562693109,0.619267255225927,0.6229554872735916,0.7636493583232752,0.8296368519435873,0.6881776868682825,0.6264148981475873,0.4375236095378119,0.6612289770385996,0.8241853275684035,0.6370900101991821,0.5994610371581317,0.5746692955188109,0.694423159677634,0.633353849142644,0.8810307474405108,0.3439687860490445,0.5212299255467314,0.7248710483488279,0.4405860186357855,0.44244752777713625,0.7431266660773164,0.49890397321330404,0.8471137734788386,0.49210588012554074,0.7279449236326597,0.489990959978191,0.6460590588561322,0.654608137022732,0.6886944272469965,0.7571589387570788,0.5821094156760623,0.597225037233152
7Networks_RH_DorsAttn_FEF_1,0.6918928166836782,0.5162019957540157,0.5215527403939593,0.5379933056177975,0.6982701064976671,0.822281389857584,0.6997500254043625,0.680204755019183,0.4635809843503406,0.6534115739851838,0.7486045351857336,0.5901440111265632,0.5737448901383793,0.5990555899981801,0.7087078626095834,0.5405273709381784,0.9088114689596318,0.2798097095311757,0.5129589596430125,0.8524425175834339,0.38864107658857394,0.3766173732151579,0.6964005452827384,0.353039410104938,0.7214066519642823,0.5696431279219374,0.6766435411852549,0.4370752962549224,0.7279127274414892,0.7097711120770753,0.7551778088287626,0.8536982673466196,0.6338920622305033,0.6130106605382555
7Networks_RH_SalVentAttn_TempOccPar_1,0.684578608848101,0.4973420849918524,0.5673334004313002,0.524490560717628,0.7247589138387203,0.641854692131383,0.6239837824664718,0.5851377211942876,0.6771727323545245,0.6379482662772042,0.5931917434861187,0.7401132198324558,0.71310592889856,0.665606597671335,0.6964476665469972,0.4912743798939224,0.8586575953534612,0.36084842266431005,0.6305689712251081,0.6866218499787651,0.8192873146825959,0.3552527096253188,0.6306933674035176,0.4561881370167114,0.5687834696936689,0.20486944718649636,0.5307676753597274,0.47160387111222624,0.7365030699820809,0.6629347927628294,0.5861824281445054,0.7644069453228224,0.5222317760876027,0.3067138885627385
7Networks_RH_SalVentAttn_TempOccPar_2,0.615181280168128,0.5106411402984758,0.5493757146335991,0.44996384948518764,0.6536929918946424,0.6199534620118077,0.600764734563203,0.5825601867665298,0.6806834577571372,0.6873107249819781,0.562348135907353,0.7263995855190216,0.7045654124958936,0.672310426611264,0.6777422009524621,0.45470131121354995,0.849791720324874,0.39908026535783414,0.6192266773536786,0.6553778758870481,0.7884635179317365,0.4439557032547567,0.6395741797181653,0.3987248220650974,0.5632627985693214,0.22842377098457486,0.51974119083807,0.39983550557568925,0.6910679598596449,0.5928263024399918,0.6305236409706368,0.7407766162508869,0.5630216360535997,0.2727206899313158
7Networks_RH_SalVentAttn_FrOperIns_1,0.45853829353264725,0.7433466743332837,0.7534492722968889,0.7044808655715717,0.870466995455634,0.7605472529161929,0.5324108797985267,0.33779640417695456,0.3892716793499503,0.43640924903074385,0.7263369409234763,0.5516743887678848,0.47095751593411905,0.4247642606241298,0.5160757058555414,0.7572730254286171,0.7081273429535817,0.6012266876658148,0.29663402620569085,0.3539530190322967,0.5860190221609165,0.6374041257641792,0.4338757649316733,0.6961882329764464,0.7404034108579257,0.3086513596152842,0.7117154138704102,0.6533589707208292,0.38099392768567764,0.36600887646195235,0.4076119762749246,0.6005279464947766,0.29266572485249853,0.6077282302366215
7Networks_RH_SalVentAttn_Med_1,0.6058575598476361,0.6954125327091663,0.6380328272402368,0.6101942595385804,0.776242102852871,0.732845928107266,0.6621999292547512,0.5852246068040294,0.5762378884649664,0.6860375469683163,0.6541760014299288,0.6404132024970539,0.607107893935939,0.5787515550447839,0.6800501691468782,0.6238577761049087,0.8194842981204793,0.45762416252290394,0.5538286326275529,0.800715886009988,0.6681974346707495,0.5881683491152425,0.6529306780165898,0.49969615211501883,0.7386012679082354,0.6296431390141699,0.722354398948716,0.5593786674770209,0.594365534317074,0.4766099077946526,0.6524384090660323,0.8019082920198414,0.48691891770463924,0.38878837804018646
7Networks_RH_SalVentAttn_Med_2,0.6084351122497982,0.7254120801410684,0.6877304212136759,0.633014191403797,0.7722174703746874,0.811584246831969,0.7182308257541004,0.5924026086470677,0.4758214959585248,0.5606867382945433,0.7832666059925575,0.5689784708855641,0.44688023755660256,0.47533943786495536,0.5407481084391317,0.6933036162531326,0.8187387221391553,0.3981777947193593,0.2963617778196913,0.7520837571092576,0.37130136186413965,0.5526671188752538,0.5840971961691156,0.5077865913307406,0.8266512110531536,0.7432209597834858,0.8038203506476373,0.628527356104511,0.5514701920456838,0.5547157178792489,0.6318505671681038,0.7859403847491466,0.47940953546990395,0.6446675152114294
7Networks_RH_Limbic_OFC_1,0.4765318725210088,0.7568144511223895,0.7313385647872932,0.7827788239137756,0.9066228238350776,0.7758773147324352,0.6460252126648411,0.4167462161518257,0.46524424719402496,0.3883486964112389,0.7947058507206582,0.5596411585521818,0.5020126903549653,0.5012808601337251,0.46023553570364073,0.8320896824040822,0.7330326968820222,0.5466246415892819,0.37827481748486025,0.4437127131947576,0.7149683793171557,0.6175357885899897,0.5728140779389146,0.7378462954195915,0.8094888338370292,0.6656317285842821,0.7769963505387543,0.788523985812361,0.3861609477603942,0.44841562827069614,0.42257482175027994,0.5013176731692098,0.2920571067350125,0.5164204413168197
