label,MET,SCN1B
7Networks_LH_Cont_Cing_2,0.723115520682476,0.6229802373654192
7Networks_LH_Cont_PFCmp_1,0.403439366186083,0.5929893667021412
7Networks_LH_Default_Temp_1,0.8219842472231639,0.3749600014302145
7Networks_LH_Default_Temp_2,0.8482421660924305,0.48058046398097787
7Networks_LH_Default_Temp_3,0.842160076290064,0.5502700860435773
7Networks_LH_Default_Temp_4,0.8133910706800358,0.5225664914669755
7Networks_LH_Default_Temp_5,0.7623223837282315,0.38656142528536586
7Networks_LH_Default_Temp_6,0.8641509318755046,0.6046750940532508
7Networks_LH_Default_Temp_7,0.8025126899006051,0.5904604524896433
7Networks_LH_Default_Temp_8,0.8094270691339929,0.6798898563154976
7Networks_LH_Default_Temp_9,0.8268634798204012,0.7094379332552458
7Networks_LH_Default_Temp_10,0.8976619167621883,0.6160215878831483
7Networks_LH_Default_Par_1,0.8000359613150323,0.6489505837727368
7Networks_LH_Default_Par_2,0.8175002044803709,0.7909153808601672
7Networks_LH_Default_Par_3,0.8594969086797899,0.6918901950330727
7Networks_LH_Default_Par_4,0.857352144672922,0.6691104770942115
7Networks_LH_Default_Par_5,0.8368286555121429,0.6843768621319137
7Networks_LH_Default_Par_6,0.8499272213060448,0.7746288121925616
7Networks_LH_Default_Par_7,0.8149125091190665,0.6729836465746408
7Networks_LH_Default_PFC_1,0.6024375533137786,0.4962684575440631
7Networks_LH_Default_PFC_2,0.6563333976265802,0.6235318083663389
7Networks_LH_Default_PFC_3,0.6558175407081608,0.4451964531895043
7Networks_LH_Default_PFC_4,0.5815749959391087,0.3039091942219483
7Networks_LH_Default_PFC_5,0.7170922310238478,0.6008502078063499
7Networks_LH_Default_PFC_6,0.7154166420153083,0.5687819848893656
7Networks_LH_Default_PFC_7,0.6475892501494386,0.6780454385502256
7Networks_LH_Default_PFC_8,0.6773692636609151,0.5175105855944194
7Networks_LH_Default_PFC_9,0.48606248093296806,0.30429665112524906
7Networks_LH_Default_PFC_10,0.6062220310324393,0.6697181724298765
7Networks_LH_Default_PFC_11,NaN,NaN
7Networks_LH_Default_PFC_12,0.28932144697577417,0.260697459185285
7Networks_LH_Default_PFC_13,0.5430883820169629,0.43771755290480324
7Networks_LH_Default_PFC_14,0.6600284123965539,0.6218611433761773
7Networks_LH_Default_PFC_15,0.6768972151704791,0.5529287081819311
7Networks_LH_Default_PFC_16,0.5232940008826162,0.6201771541388621
7Networks_LH_Default_PFC_17,0.5177835783442304,0.7213570931264964
7Networks_LH_Default_PFC_18,0.43191944433321167,0.6266965853707154
7Networks_LH_Default_PFC_19,0.5479663713096877,0.6303821694519836
7Networks_LH_Default_PFC_20,0.46804713905144496,0.726813581880935
7Networks_LH_Default_PFC_21,0.48637508924126627,0.6619503485975362
7Networks_LH_Default_PFC_22,0.4818678613183433,0.62959376860075
7Networks_LH_Default_PFC_23,0.4779221092368813,0.5886543152913561
7Networks_LH_Default_PFC_24,0.33297759647879654,0.7206642609464087
7Networks_LH_Default_pCunPCC_1,0.820565040605738,0.61415168761483
7Networks_LH_Default_pCunPCC_2,0.8146521504571735,0.6948408535111076
7Networks_LH_Default_pCunPCC_3,0.8094887360501765,0.663624326242139
7Networks_LH_Default_pCunPCC_4,0.7663766646643374,0.7596518906709058
